dataset active_matter: 12950 clips, spec=ClipSpec(n_channels=11, n_frames=8, height=256, width=256)
step 3700/5000 lr=7.40e-05 loss=0.0932 target_feat_std=0.9490 context_feat_std=0.9394 pred_feat_std=0.8477 clips/s=240.1
step 3750/5000 lr=7.50e-05 loss=0.0952 target_feat_std=0.9486 context_feat_std=0.9392 pred_feat_std=0.8320 clips/s=176.3
step 3800/5000 lr=7.60e-05 loss=0.0870 target_feat_std=0.9464 context_feat_std=0.9367 pred_feat_std=0.8438 clips/s=163.8
step 3850/5000 lr=7.70e-05 loss=0.0888 target_feat_std=0.9496 context_feat_std=0.9420 pred_feat_std=0.8438 clips/s=128.5
step 3900/5000 lr=7.80e-05 loss=0.0867 target_feat_std=0.9459 context_feat_std=0.9332 pred_feat_std=0.8516 clips/s=177.5
step 3950/5000 lr=7.90e-05 loss=0.0802 target_feat_std=0.9481 context_feat_std=0.9373 pred_feat_std=0.8594 clips/s=192.3
step 4000/5000 lr=8.00e-05 loss=0.0821 target_feat_std=0.9476 context_feat_std=0.9363 pred_feat_std=0.8477 clips/s=182.1
step 4050/5000 lr=8.10e-05 loss=0.0878 target_feat_std=0.9494 context_feat_std=0.9410 pred_feat_std=0.8516 clips/s=131.0
step 4100/5000 lr=8.20e-05 loss=0.0874 target_feat_std=0.9471 context_feat_std=0.9376 pred_feat_std=0.8555 clips/s=155.2
step 4150/5000 lr=8.30e-05 loss=0.0845 target_feat_std=0.9486 context_feat_std=0.9399 pred_feat_std=0.8477 clips/s=166.7
step 4200/5000 lr=8.40e-05 loss=0.0876 target_feat_std=0.9493 context_feat_std=0.9378 pred_feat_std=0.8516 clips/s=164.8
step 4250/5000 lr=8.50e-05 loss=0.0921 target_feat_std=0.9487 context_feat_std=0.9394 pred_feat_std=0.8359 clips/s=128.5
step 4300/5000 lr=8.60e-05 loss=0.0821 target_feat_std=0.9488 context_feat_std=0.9392 pred_feat_std=0.8633 clips/s=207.3
step 4350/5000 lr=8.70e-05 loss=0.0762 target_feat_std=0.9440 context_feat_std=0.9320 pred_feat_std=0.8594 clips/s=221.0
step 4400/5000 lr=8.80e-05 loss=0.0807 target_feat_std=0.9481 context_feat_std=0.9387 pred_feat_std=0.8672 clips/s=221.2
step 4450/5000 lr=8.90e-05 loss=0.0764 target_feat_std=0.9446 context_feat_std=0.9341 pred_feat_std=0.8594 clips/s=118.1
step 4500/5000 lr=9.00e-05 loss=0.0760 target_feat_std=0.9450 context_feat_std=0.9311 pred_feat_std=0.8594 clips/s=260.0
step 4550/5000 lr=9.10e-05 loss=0.0741 target_feat_std=0.9454 context_feat_std=0.9345 pred_feat_std=0.8672 clips/s=187.8
step 4600/5000 lr=9.20e-05 loss=0.0723 target_feat_std=0.9475 context_feat_std=0.9372 pred_feat_std=0.8711 clips/s=208.3
step 4650/5000 lr=9.30e-05 loss=0.0757 target_feat_std=0.9464 context_feat_std=0.9374 pred_feat_std=0.8633 clips/s=125.3
step 4700/5000 lr=9.40e-05 loss=0.0751 target_feat_std=0.9456 context_feat_std=0.9324 pred_feat_std=0.8633 clips/s=241.8
step 4750/5000 lr=9.50e-05 loss=0.0796 target_feat_std=0.9462 context_feat_std=0.9341 pred_feat_std=0.8594 clips/s=187.9
step 4800/5000 lr=9.60e-05 loss=0.0839 target_feat_std=0.9497 context_feat_std=0.9394 pred_feat_std=0.8555 clips/s=202.1
step 4850/5000 lr=9.70e-05 loss=0.0754 target_feat_std=0.9462 context_feat_std=0.9348 pred_feat_std=0.8594 clips/s=134.3
step 4900/5000 lr=9.80e-05 loss=0.0726 target_feat_std=0.9459 context_feat_std=0.9348 pred_feat_std=0.8672 clips/s=255.2
step 4950/5000 lr=9.90e-05 loss=0.0749 target_feat_std=0.9486 context_feat_std=0.9355 pred_feat_std=0.8594 clips/s=207.4
step 5000/5000 lr=1.00e-04 loss=0.0609 target_feat_std=0.9391 context_feat_std=0.9290 pred_feat_std=0.8672 clips/s=194.0
training complete
