objective	family	representation	method	target_offset	target	sigma	metric	mean	std	n	status
jepa	physics	pooled	selected	16	buoyancy_laplacian_magnitude		test_pearson_r	0.9916642870615444		1	ok
jepa	physics	pooled	selected	16	buoyancy_laplacian_magnitude		test_mse	8010.175567535777		1	ok
jepa	physics	pooled	selected	16	buoyancy_laplacian_magnitude		test_log_mse	3.903642035082537		1	ok
jepa	physics	pooled	mlp	16	convective_flux		test_vrmse	0.2185021238114274		1	ok
jepa	physics	pooled	mlp	16	convective_flux		test_r2	0.9522568218898957		1	ok
jepa	physics	pooled	mlp	16	convective_flux		test_pearson_r	0.9758656359578229		1	ok
jepa	physics	pooled	mlp	16	convective_flux		test_mse	8.003932877356881e-07		1	ok
jepa	physics	pooled	mlp	16	convective_flux		test_log_mse	-6.096696562104261		1	ok
jepa	physics	pooled	ridge	16	convective_flux		test_vrmse	0.2342473131966876		1	ok
jepa	physics	pooled	ridge	16	convective_flux		test_r2	0.945128196260133		1	ok
jepa	physics	pooled	ridge	16	convective_flux		test_pearson_r	0.9722261337732001		1	ok
jepa	physics	pooled	ridge	16	convective_flux		test_mse	9.199015469404753e-07		1	ok
jepa	physics	pooled	ridge	16	convective_flux		test_log_mse	-6.036258650815833		1	ok
jepa	physics	pooled	ridge_plus_control	16	convective_flux		test_vrmse	0.2420363334786843		1	ok
jepa	physics	pooled	ridge_plus_control	16	convective_flux		test_r2	0.9414184132761951		1	ok
jepa	physics	pooled	ridge_plus_control	16	convective_flux		test_pearson_r	0.9705151798239459		1	ok
jepa	physics	pooled	ridge_plus_control	16	convective_flux		test_mse	9.820944196573313e-07		1	ok
jepa	physics	pooled	ridge_plus_control	16	convective_flux		test_log_mse	-6.007846756647958		1	ok
jepa	physics	pooled	selected	16	convective_flux		test_vrmse	0.2185021238114274		1	ok
jepa	physics	pooled	selected	16	convective_flux		test_r2	0.9522568218898957		1	ok
jepa	physics	pooled	selected	16	convective_flux		test_pearson_r	0.9758656359578229		1	ok
jepa	physics	pooled	selected	16	convective_flux		test_mse	8.003932877356881e-07		1	ok
jepa	physics	pooled	selected	16	convective_flux		test_log_mse	-6.096696562104261		1	ok
jepa	physics	pooled	mlp	16	enstrophy		test_vrmse	0.17486468330971924		1	ok
jepa	physics	pooled	mlp	16	enstrophy		test_r2	0.9694223425309916		1	ok
jepa	physics	pooled	mlp	16	enstrophy		test_pearson_r	0.9846751292453754		1	ok
jepa	physics	pooled	mlp	16	enstrophy		test_mse	53.39679699181352		1	ok
jepa	physics	pooled	mlp	16	enstrophy		test_log_mse	1.7275152066446409		1	ok
jepa	physics	pooled	ridge	16	enstrophy		test_vrmse	0.21595328843276515		1	ok
jepa	physics	pooled	ridge	16	enstrophy		test_r2	0.9533641772150749		1	ok
jepa	physics	pooled	ridge	16	enstrophy		test_pearson_r	0.9764302520409911		1	ok
jepa	physics	pooled	ridge	16	enstrophy		test_mse	81.43866364899759		1	ok
jepa	physics	pooled	ridge	16	enstrophy		test_log_mse	1.9108306385851697		1	ok
jepa	physics	pooled	ridge_plus_control	16	enstrophy		test_vrmse	0.1880959774449691		1	ok
jepa	physics	pooled	ridge_plus_control	16	enstrophy		test_r2	0.9646199032690217		1	ok
jepa	physics	pooled	ridge_plus_control	16	enstrophy		test_pearson_r	0.9821983340206099		1	ok
jepa	physics	pooled	ridge_plus_control	16	enstrophy		test_mse	61.78314491911398		1	ok
jepa	physics	pooled	ridge_plus_control	16	enstrophy		test_log_mse	1.7908700112210933		1	ok
jepa	physics	pooled	selected	16	enstrophy		test_vrmse	0.17486468330971924		1	ok
jepa	physics	pooled	selected	16	enstrophy		test_r2	0.9694223425309916		1	ok
jepa	physics	pooled	selected	16	enstrophy		test_pearson_r	0.9846751292453754		1	ok
jepa	physics	pooled	selected	16	enstrophy		test_mse	53.39679699181352		1	ok
jepa	physics	pooled	selected	16	enstrophy		test_log_mse	1.7275152066446409		1	ok
jepa	physics	pooled	mlp	16	pressure_gradient_magnitude		test_vrmse	0.08069424102294523		1	ok
jepa	physics	pooled	mlp	16	pressure_gradient_magnitude		test_r2	0.9934884394657308		1	ok
jepa	physics	pooled	mlp	16	pressure_gradient_magnitude		test_pearson_r	0.996759228204575		1	ok
jepa	physics	pooled	mlp	16	pressure_gradient_magnitude		test_mse	0.0007716454041429496		1	ok
jepa	physics	pooled	mlp	16	pressure_gradient_magnitude		test_log_mse	-3.1125822260921834		1	ok
jepa	physics	pooled	ridge	16	pressure_gradient_magnitude		test_vrmse	0.08685215320300761		1	ok
jepa	physics	pooled	ridge	16	pressure_gradient_magnitude		test_r2	0.9924567034840013		1	ok
jepa	physics	pooled	ridge	16	pressure_gradient_magnitude		test_pearson_r	0.996263827172548		1	ok
jepa	physics	pooled	ridge	16	pressure_gradient_magnitude		test_mse	0.0008939101553344024		1	ok
jepa	physics	pooled	ridge	16	pressure_gradient_magnitude		test_log_mse	-3.0487061288587634		1	ok
jepa	physics	pooled	ridge_plus_control	16	pressure_gradient_magnitude		test_vrmse	0.0840649135567831		1	ok
jepa	physics	pooled	ridge_plus_control	16	pressure_gradient_magnitude		test_r2	0.9929330903086906		1	ok
jepa	physics	pooled	ridge_plus_control	16	pressure_gradient_magnitude		test_pearson_r	0.9964860694457929		1	ok
jepa	physics	pooled	ridge_plus_control	16	pressure_gradient_magnitude		test_mse	0.0008374564524269163		1	ok
jepa	physics	pooled	ridge_plus_control	16	pressure_gradient_magnitude		test_log_mse	-3.077037766932794		1	ok
jepa	physics	pooled	selected	16	pressure_gradient_magnitude		test_vrmse	0.08069424102294523		1	ok
jepa	physics	pooled	selected	16	pressure_gradient_magnitude		test_r2	0.9934884394657308		1	ok
jepa	physics	pooled	selected	16	pressure_gradient_magnitude		test_pearson_r	0.996759228204575		1	ok
jepa	physics	pooled	selected	16	pressure_gradient_magnitude		test_mse	0.0007716454041429496		1	ok
jepa	physics	pooled	selected	16	pressure_gradient_magnitude		test_log_mse	-3.1125822260921834		1	ok
jepa	physics	pooled	mlp	40	buoyancy_gradient_energy		test_vrmse	0.4113838937034365		1	ok
jepa	physics	pooled	mlp	40	buoyancy_gradient_energy		test_r2	0.8307632920013996		1	ok
jepa	physics	pooled	mlp	40	buoyancy_gradient_energy		test_pearson_r	0.9121408688594878		1	ok
jepa	physics	pooled	mlp	40	buoyancy_gradient_energy		test_mse	497.01706065292467		1	ok
jepa	physics	pooled	mlp	40	buoyancy_gradient_energy		test_log_mse	2.696371296621168		1	ok
jepa	physics	pooled	ridge	40	buoyancy_gradient_energy		test_vrmse	0.5052279690448914		1	ok
